SMILES,BP
COC1=C(C(=CC=C1)OC)O,261
CC(CO)O,188.2
C1=C(OC(=C1)C=O)CO,115
CC(C)O,82.5
CCCO,97.2
CCC(C)(C)O,102.4
CCC(=O)C,79.6
CC(=O)OC,56.8
CC1=CCCC(=C)C2CC(C2CC1)(C)C,303.4
CC1=CC(=C(C=C1)O)OC,221
COC(=O)C1=CC=CC=C1,199.6
CC1=CC(=C(C=C1)C)C,169
CCC(=O)CC,101.9
CCOC(=O)C(C)C,111
CC1=CCC(=CC1)C(C)C,183
CC1=CC=C(CC1)C(C)C,175
COC1=CC=CC=C1,155.5
CCCC1=CC=CC=C1,159.2
CCCCC1=CC=CC=C1,183.3
CCCC(C)CO,148
CCCC(=O)OCC,121
CCCCCCCCCCCC(=O)OCC,271
CCCCCC(=O)CC,167.5
CCCCCC(=O)OC,149.5
CCCC(=O)C,101.7
CC(C)CC(=O)C,115.8
CC(C)CC(C)O,133
CC(C)OC(=O)C,88.6
CC1CCC(=O)O1,208
CC(C)CC(=O)CC(C)C,168
CC1CCCCC1,100.9
C1CCC(CC1)O,161.08
CCCCOC(=O)CCC,166
CCCOC(=O)C,101.5
C1=COC=C1,31.36
CCCCCCCCCCCCCCCCCC(=O)OCC,389
CCCCCCCCCCCCCCCC(=O)OC,417
CCCCCCCCCCCCCCCCCC(=O)OC,443
COC,-25
CC(C)(C=C)O,97
C1=CC=C2C(=C1)C=CN2,254
C1CCC(=O)C1,130.6
COC1=C(C=CC(=C1)C=O)O,284.5
CCCC(=O)CCC,145
C1=CC(=CC=C1O)O,286
CC(=CCCC(=C)C=C)C,167
CCCCCC(=O)OCC,167
CC(=O)CCC(=O)O,245.5
CC(C)CCOC(=O)C,142
CCCCCCCCCCCCCC(=O)OCC,295
CCCCCCCCCCCCCCCCO,334
CCC(C)CO,128
CCOC(=O)C,77
CCCCCCC,98
CCCCOCCCC,140.2
CC(=O)C(=O)C,88
CC(C)C(C)(C)C,80.8
CC(C)C12CCC(O1)(CC2)C,174
CC1(CCCC2(C3C1C(C2=C)CC3)C)C,258
CC1CCC(C(C1)O)C(C)C,212
C1C=CC(=O)O1,212
CC1CCC(=CC1)C(C)C,167
CCCCC(=O)CCCC,188.4
CC(C)CC(C)(C)C,99.5
CCCCC=C,63.4
CCCCCCCCCCCCCCCC,287
CC1CCC2C(C1)C2(C)C,165
CC(C)C(=O)C,93
CCC(C)C(=O)C,118
CC(C)C(=O)C(C)C,125.4
CCCC(C)CC,91
CCCC=CCCC,122.3
CCC(C)C(CC)O,148
CC1=CC=C(O1)C=O,187
CCCC(=O)OC,102.8
CCC(=O)CC(C)C,136
CC1=CC=C(O1)C,93.5
CCCCCC(=O)OCCCC,208
CCOCC(C)C,81
CC(C)COCC(C)C,123
CCCCCCCCCCCCCCCC(=O)OCC,191
C(CCCO)CCO,208
CCCCCCCCCCCCC,235.4
CCCCCCCCCCCCCCC,270.6
CCCCCCCCCCCCCCCCC,302
CCOC(C)(C)C,73.1
CC12CC3CC(C1)CC(C3)(C2)C,210
CCCCCC=CCCCC,192
CCC(C)C(=O)OC,116
CC(C)CCCC(C)C,135.2
C1CCC(C(C1)O)O,233
CC(C)CCCO,151.9
C1=CC=C(C=C1)CCO,218.2
CCCC1=CC=C(O1)C,138
CCC(=O)C=C,103
CCC1CCCC1,103.5
CCCC1CCCCC1,156.7
CCCCC1CCCCC1,180.9
C1=C(OC(=C1)CO)CO,275.4
CCC(C)CCCC(C)C,160.4
CCCCCC(C)CC,144.2
CCCCC(C)C(=O)C,164
CCCCCCOC(=O)CCC,208
CC1CCCC(C1)(C)C,136.6
CC(C)C12CCC(=C)C1C2,164
CC(C)CCC(C)C(C)C,156
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,240
CCCCCC(=O)CCC,187.5
CC1CCC(C1)(C)C,104.9
CC(=CCCC(=CCCC(=CCO)C)C)C,346.6
CC(C)CCCC(C)O,172
CC1=CC=C(C=C1)C(C)C,177.1
CCCCO,117.7
CCCCCC(CC)CC,166.5
CCCCCCC(C)CC,167.9
CC=CC1=CC(=C(C=C1)O)OC,266
CC(C)CC(C)CO,157
CCCCC=CC,98
CCCC=CCC,95.7
CC1CCC(CC1)O,173
CC1(C2CCC(O1)(CC2)C)C,176
CC1=CCC(CC1)C(=C)C,178
C=C,-102.4
C1CCC(=O)CC1,156
CC(=C)C=C,34.067
COC1=CC=CC=C1O,205
C1=CC=C(C(=C1)O)O,245.5
CCC(C)O,99.5
CC1CCOC(C1)C=C(C)C,182
CCC1(CCCC1)C,121.6
CCC(C)C(=O)CC,134.5
CC1C=CC(=O)O1,209
CC1(C2CCC1(C(=O)C2)C)C,204
CCCCCC(CCCCC)O,228
C1CCCCC1,80.7
CC(=C)CC(C)(C)C,101.4
CC1CCCO1,78
CCCCCCO,157
CC(C)C(=O)OC,92.5
C1=CC(=CC(=C1)O)O,280
C(CCO)CO,230
CCCCCC(C)O,159
CCCCCC(=O)C,149
CCCCC(=O)C,127.6
CCCCCO,137.5
CCCCCCCC=C,146.9
COC1=C(C=CC(=C1)C=C)O,224
CCCC(CC)O,134.8
C1CC(OC1CO)CO,265
CC(C(C)O)O,182
CCCCC(C)C,90
C1=COC(=C1)C=O,162
C1=COC(=C1)CO,171
CC1=CC=CC=C1,111
CCCCCCCC,125.67
CCCC(C)O,119.3
CC(C)CCCCO,170
CC(C(=O)C)O,148
CCOC(=O)CCC(=O)C,205.8
CC(C)COC,58.6
C1=CC=CC=C1,80.1
CCC(C)(CCCC(C)C)O,196
CCC=CC,36.3
CCCCCCCCC,150.8
CCCCCCCCCCC,195.9
CCC=C,-6.5
CCCCC(C)CO,168
CCCCC(CC)CC(C)CC,195.1
CC1=CCCC1(C)C,108
CCCC(=O)CC,123.5
CCCCCCCCCC,174.1
CCCCC(=O)O,186.5
CC1=CCCC1=O,157
CCCCCCCC(C)O,193
CC1=CCC(CC1)C(=C)C,176
C1=CC=C(C=C1)CO,205
CCCCCCCCO,194
CC1=CCC2CC1C2(C)C,155.5
CCCCCCCCCCCCO,259
CCCCC,36.1
CC(C)CCCC(C)CCO,213
CCCCCCCCCCCCCCCCCCO,334.3
CC=CC,0.8
CC(C)CO,107.89
CCC1=CC=CC=C1,136.1
CCOCC,34.6
CCO,78.5
CCCCCCCCCCCCCCO,289
CCCCCC(=O)CCCCC,228
CCCCCCCCCCCCCC,253.7
CC1=CCC2C(C1)C2(C)C,168
CCCCCCCC=CCC,193.5
CCCCCCOC(=O)C,171.5
CC=C,-48
CCC(C)CC(C)C,110
C1CC(OC1)CO,178
CCCCCCCCCCCC,216.3
CC(C)C1=CC=CC=C1,152.4
CCCCCC(CCC)O,192.5
CC1CCCC(C1=O)(C)C,178.5
CCCCC(C)CC,118
CCCCC(CC)CO,184.3
CCCC(C)C(=O)C,137
CC(C)(C)OCC(CO)OC(C)(C)C,223
C(CO)O,197.3